#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	ARRB2	9606.ENSP00000451828	9606.ENSP00000403701	0	0	0	0	0.075	0.639	0	0.993	0.997
AKT1	TRIB3	9606.ENSP00000451828	9606.ENSP00000415416	0	0.003	0	0.581	0.042	0.651	0.900	0.965	0.998
AKT1	CDC42	9606.ENSP00000451828	9606.ENSP00000497733	0	0	0	0	0.092	0.110	0	0.999	0.999
ARRB2	MDM2	9606.ENSP00000403701	9606.ENSP00000258149	0	0	0	0	0.054	0.891	0	0.890	0.987
ARRB2	NOS3	9606.ENSP00000403701	9606.ENSP00000297494	0	0	0	0	0.053	0	0	0.547	0.552
ARRB2	GSK3B	9606.ENSP00000403701	9606.ENSP00000324806	0	0	0	0	0	0.095	0	0.488	0.516
ARRB2	CHUK	9606.ENSP00000403701	9606.ENSP00000359424	0	0	0	0	0	0.605	0	0.150	0.651
ARRB2	HSP90AB1	9606.ENSP00000403701	9606.ENSP00000360609	0	0	0	0	0.042	0.047	0	0.540	0.543
ARRB2	CDC42	9606.ENSP00000403701	9606.ENSP00000497733	0	0	0	0	0.079	0.127	0	0.536	0.594
CDC37	RPTOR	9606.ENSP00000222005	9606.ENSP00000307272	0	0	0	0	0.054	0	0	0.430	0.437
CDC37	PIK3CA	9606.ENSP00000222005	9606.ENSP00000263967	0	0	0	0	0	0	0.500	0.125	0.543
CDC37	GSK3B	9606.ENSP00000222005	9606.ENSP00000324806	0	0	0	0	0.047	0.253	0	0.517	0.627
CDC37	CHUK	9606.ENSP00000222005	9606.ENSP00000359424	0	0	0	0	0.047	0.847	0	0.870	0.979
CDC37	HSP90AA1	9606.ENSP00000222005	9606.ENSP00000335153	0	0	0	0	0.134	0.995	0.800	0.999	0.999
CDC37	HSP90AB1	9606.ENSP00000222005	9606.ENSP00000360609	0	0	0	0	0.155	0.992	0.800	0.998	0.999
CDC42	MDM2	9606.ENSP00000497733	9606.ENSP00000258149	0	0	0	0	0.060	0.071	0	0.560	0.582
CDC42	PIK3CA	9606.ENSP00000497733	9606.ENSP00000263967	0	0	0	0	0.073	0.504	0.900	0.664	0.982
CDC42	RPTOR	9606.ENSP00000497733	9606.ENSP00000307272	0	0	0	0	0.049	0.095	0	0.489	0.521
CDC42	GSK3B	9606.ENSP00000497733	9606.ENSP00000324806	0	0	0	0	0.087	0.110	0	0.795	0.819
CDC42	SMAD3	9606.ENSP00000497733	9606.ENSP00000332973	0	0	0	0	0.099	0.053	0	0.555	0.587
CDC42	HSP90AA1	9606.ENSP00000497733	9606.ENSP00000335153	0.042	0	0	0	0.102	0.112	0	0.417	0.495
CDC42	MTOR	9606.ENSP00000497733	9606.ENSP00000354558	0	0	0	0	0.054	0.128	0	0.466	0.521
CDC42	HSP90AB1	9606.ENSP00000497733	9606.ENSP00000360609	0.042	0	0	0	0.091	0.112	0	0.415	0.487
CDC42	ILK	9606.ENSP00000497733	9606.ENSP00000379975	0	0	0	0	0.068	0.217	0	0.807	0.847
CDKN1B	HSP90AA1	9606.ENSP00000228872	9606.ENSP00000335153	0	0	0	0	0.070	0.162	0	0.370	0.466
CDKN1B	SMAD3	9606.ENSP00000228872	9606.ENSP00000332973	0	0	0	0	0.086	0	0	0.444	0.470
CDKN1B	CHUK	9606.ENSP00000228872	9606.ENSP00000359424	0	0	0	0	0.120	0.296	0	0.267	0.507
CDKN1B	MTOR	9606.ENSP00000228872	9606.ENSP00000354558	0	0	0	0	0.060	0	0	0.523	0.533
CDKN1B	PHLPP1	9606.ENSP00000228872	9606.ENSP00000262719	0	0	0	0	0	0	0	0.553	0.553
CDKN1B	PIK3CA	9606.ENSP00000228872	9606.ENSP00000263967	0	0	0	0	0.206	0	0	0.479	0.568
CDKN1B	MDM2	9606.ENSP00000228872	9606.ENSP00000258149	0	0	0	0	0.042	0.045	0	0.584	0.587
CDKN1B	PDPK1	9606.ENSP00000228872	9606.ENSP00000344220	0	0	0	0	0.095	0	0.500	0.226	0.619
CDKN1B	GSK3B	9606.ENSP00000228872	9606.ENSP00000324806	0	0	0	0	0.217	0.047	0	0.532	0.620
CDKN1B	FOXO1	9606.ENSP00000228872	9606.ENSP00000368880	0	0	0	0	0.049	0.046	0.400	0.739	0.839
CDKN1B	FOXO3	9606.ENSP00000228872	9606.ENSP00000339527	0	0	0	0	0.092	0.429	0.750	0.869	0.980
CHUK	MDM2	9606.ENSP00000359424	9606.ENSP00000258149	0	0	0	0	0.063	0.050	0	0.581	0.595
CHUK	PHLPP1	9606.ENSP00000359424	9606.ENSP00000262719	0	0	0	0	0	0.061	0	0.498	0.508
CHUK	PIK3CA	9606.ENSP00000359424	9606.ENSP00000263967	0	0	0	0	0.347	0.069	0	0.288	0.529
CHUK	RPTOR	9606.ENSP00000359424	9606.ENSP00000307272	0	0	0	0	0.060	0.300	0	0.327	0.519
CHUK	SMAD3	9606.ENSP00000359424	9606.ENSP00000332973	0	0	0	0	0.075	0.328	0	0.815	0.875
CHUK	HSP90AA1	9606.ENSP00000359424	9606.ENSP00000335153	0	0	0	0	0.090	0.704	0	0.972	0.992
CHUK	FOXO3	9606.ENSP00000359424	9606.ENSP00000339527	0	0	0	0	0.060	0.331	0.900	0.400	0.957
CHUK	PDPK1	9606.ENSP00000359424	9606.ENSP00000344220	0	0	0	0.580	0.138	0.104	0.900	0.114	0.922
CHUK	MTOR	9606.ENSP00000359424	9606.ENSP00000354558	0	0	0	0	0.095	0.526	0.900	0.452	0.973
CHUK	FOXO1	9606.ENSP00000359424	9606.ENSP00000368880	0	0	0	0	0	0.094	0.900	0.358	0.936
CHUK	HSP90AB1	9606.ENSP00000359424	9606.ENSP00000360609	0	0	0	0	0.090	0.514	0	0.956	0.979
FOXO1	MDM2	9606.ENSP00000368880	9606.ENSP00000258149	0	0	0	0	0	0.523	0	0.546	0.774
FOXO1	PIK3CA	9606.ENSP00000368880	9606.ENSP00000263967	0	0	0	0	0.067	0.184	0	0.669	0.726
FOXO1	NOS3	9606.ENSP00000368880	9606.ENSP00000297494	0	0	0	0	0.049	0.071	0	0.650	0.663
FOXO1	RPTOR	9606.ENSP00000368880	9606.ENSP00000307272	0	0	0	0	0.067	0	0	0.623	0.634
FOXO1	GSK3B	9606.ENSP00000368880	9606.ENSP00000324806	0	0	0	0	0	0.420	0	0.692	0.814
FOXO1	SMAD3	9606.ENSP00000368880	9606.ENSP00000332973	0	0	0	0	0.074	0.317	0.900	0.872	0.990
FOXO1	HSP90AA1	9606.ENSP00000368880	9606.ENSP00000335153	0	0	0	0	0	0.067	0	0.639	0.648
FOXO1	FOXO3	9606.ENSP00000368880	9606.ENSP00000339527	0	0	0	0.895	0.073	0	0.900	0.562	0.955
FOXO1	PDPK1	9606.ENSP00000368880	9606.ENSP00000344220	0	0	0	0	0.088	0.051	0	0.683	0.702
FOXO1	MTOR	9606.ENSP00000368880	9606.ENSP00000354558	0	0	0	0	0	0.050	0	0.755	0.758
FOXO1	HSP90AB1	9606.ENSP00000368880	9606.ENSP00000360609	0	0	0	0	0.042	0.067	0	0.453	0.469
FOXO3	MDM2	9606.ENSP00000339527	9606.ENSP00000258149	0	0	0	0	0.049	0.742	0	0.982	0.995
FOXO3	PIK3CA	9606.ENSP00000339527	9606.ENSP00000263967	0	0	0	0	0.107	0.184	0	0.517	0.617
FOXO3	NOS3	9606.ENSP00000339527	9606.ENSP00000297494	0	0	0	0	0	0.071	0	0.395	0.413
FOXO3	RPTOR	9606.ENSP00000339527	9606.ENSP00000307272	0	0	0	0	0.067	0	0	0.623	0.634
FOXO3	GSK3B	9606.ENSP00000339527	9606.ENSP00000324806	0	0	0	0	0.304	0.094	0	0.653	0.762
FOXO3	SMAD3	9606.ENSP00000339527	9606.ENSP00000332973	0	0	0	0	0.060	0.634	0.900	0.896	0.995
FOXO3	HSP90AA1	9606.ENSP00000339527	9606.ENSP00000335153	0	0	0	0	0	0.067	0	0.478	0.492
FOXO3	HSP90AB1	9606.ENSP00000339527	9606.ENSP00000360609	0	0	0	0	0.048	0.067	0	0.474	0.492
FOXO3	PDPK1	9606.ENSP00000339527	9606.ENSP00000344220	0	0	0	0	0.154	0.051	0	0.501	0.564
FOXO3	MTOR	9606.ENSP00000339527	9606.ENSP00000354558	0	0	0	0	0.049	0.050	0	0.743	0.747
GSK3B	MDM2	9606.ENSP00000324806	9606.ENSP00000258149	0	0	0	0	0.070	0.299	0	0.581	0.703
GSK3B	PHLPP1	9606.ENSP00000324806	9606.ENSP00000262719	0	0	0	0	0.049	0.306	0	0.387	0.561
GSK3B	PIK3CA	9606.ENSP00000324806	9606.ENSP00000263967	0	0	0	0	0.199	0.069	0	0.544	0.630
GSK3B	NOS3	9606.ENSP00000324806	9606.ENSP00000297494	0	0	0	0	0	0.065	0	0.478	0.491
GSK3B	RPTOR	9606.ENSP00000324806	9606.ENSP00000307272	0	0	0	0	0.049	0.052	0	0.531	0.540
GSK3B	TRIB3	9606.ENSP00000324806	9606.ENSP00000415416	0	0	0	0	0.046	0.547	0	0.239	0.642
GSK3B	MTOR	9606.ENSP00000324806	9606.ENSP00000354558	0	0	0	0	0.135	0.095	0	0.746	0.784
GSK3B	PDPK1	9606.ENSP00000324806	9606.ENSP00000344220	0	0	0	0.607	0.227	0.338	0.500	0.312	0.801
GSK3B	ILK	9606.ENSP00000324806	9606.ENSP00000379975	0	0	0	0	0.049	0.331	0	0.849	0.895
GSK3B	HSP90AB1	9606.ENSP00000324806	9606.ENSP00000360609	0	0	0	0	0.049	0.308	0	0.888	0.920
GSK3B	SMAD3	9606.ENSP00000324806	9606.ENSP00000332973	0	0	0	0	0.074	0.535	0	0.894	0.950
GSK3B	HSP90AA1	9606.ENSP00000324806	9606.ENSP00000335153	0	0	0	0	0.054	0.639	0	0.887	0.958
HSP90AA1	MDM2	9606.ENSP00000335153	9606.ENSP00000258149	0	0	0	0	0.049	0.539	0	0.810	0.909
HSP90AA1	PHLPP1	9606.ENSP00000335153	9606.ENSP00000262719	0	0	0	0	0	0.134	0	0.388	0.447
HSP90AA1	PIK3CA	9606.ENSP00000335153	9606.ENSP00000263967	0	0	0	0	0.049	0	0.500	0.686	0.837
HSP90AA1	NOS3	9606.ENSP00000335153	9606.ENSP00000297494	0	0	0	0	0	0.789	0.800	0.992	0.999
HSP90AA1	RPTOR	9606.ENSP00000335153	9606.ENSP00000307272	0	0	0	0	0.065	0.075	0	0.678	0.698
HSP90AA1	ILK	9606.ENSP00000335153	9606.ENSP00000379975	0	0	0	0	0.044	0.206	0	0.585	0.658
HSP90AA1	PDPK1	9606.ENSP00000335153	9606.ENSP00000344220	0	0	0	0	0.082	0	0.500	0.690	0.845
HSP90AA1	HSP90AB1	9606.ENSP00000335153	9606.ENSP00000360609	0	0	0.048	0.984	0.783	0.896	0.900	0.048	0.997
HSP90AA1	MTOR	9606.ENSP00000335153	9606.ENSP00000354558	0	0	0	0	0.095	0.994	0	0.794	0.998
HSP90AB1	MDM2	9606.ENSP00000360609	9606.ENSP00000258149	0	0	0	0	0	0.080	0	0.743	0.753
HSP90AB1	PHLPP1	9606.ENSP00000360609	9606.ENSP00000262719	0	0	0	0	0	0.134	0	0.388	0.447
HSP90AB1	PIK3CA	9606.ENSP00000360609	9606.ENSP00000263967	0	0	0	0	0.043	0	0	0.638	0.639
HSP90AB1	NOS3	9606.ENSP00000360609	9606.ENSP00000297494	0	0	0	0	0	0.059	0.800	0.992	0.998
HSP90AB1	RPTOR	9606.ENSP00000360609	9606.ENSP00000307272	0	0	0	0	0.065	0.075	0	0.678	0.698
HSP90AB1	PDPK1	9606.ENSP00000360609	9606.ENSP00000344220	0	0	0	0	0.075	0	0	0.679	0.690
HSP90AB1	MTOR	9606.ENSP00000360609	9606.ENSP00000354558	0	0	0	0	0.103	0.994	0	0.784	0.998
HSP90AB1	ILK	9606.ENSP00000360609	9606.ENSP00000379975	0	0	0	0	0.060	0.206	0	0.582	0.661
ILK	PIK3CA	9606.ENSP00000379975	9606.ENSP00000263967	0	0	0	0	0.042	0	0.900	0.266	0.923
ILK	SMAD3	9606.ENSP00000379975	9606.ENSP00000332973	0	0	0	0	0.042	0.046	0	0.606	0.609
ILK	PDPK1	9606.ENSP00000379975	9606.ENSP00000344220	0	0	0	0	0.042	0.292	0	0.597	0.702
ILK	MTOR	9606.ENSP00000379975	9606.ENSP00000354558	0	0	0	0	0.042	0.337	0	0.441	0.614
MDM2	PHLPP1	9606.ENSP00000258149	9606.ENSP00000262719	0	0	0	0	0	0	0	0.595	0.595
MDM2	MTOR	9606.ENSP00000258149	9606.ENSP00000354558	0	0	0	0	0	0	0	0.598	0.598
MDM2	PIK3CA	9606.ENSP00000258149	9606.ENSP00000263967	0	0	0	0	0.094	0	0	0.621	0.642
MDM2	PDPK1	9606.ENSP00000258149	9606.ENSP00000344220	0	0	0	0	0.069	0	0.500	0.299	0.645
MTOR	PHLPP1	9606.ENSP00000354558	9606.ENSP00000262719	0	0	0	0	0.074	0.073	0	0.529	0.561
MTOR	PIK3CA	9606.ENSP00000354558	9606.ENSP00000263967	0	0	0	0.548	0.060	0.166	0.900	0.592	0.963
MTOR	NOS3	9606.ENSP00000354558	9606.ENSP00000297494	0	0	0	0	0	0	0	0.677	0.677
MTOR	RPTOR	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0.301	0.999	0.900	0.999	0.999
MTOR	SMAD3	9606.ENSP00000354558	9606.ENSP00000332973	0	0	0	0	0.049	0	0	0.667	0.670
MTOR	PDPK1	9606.ENSP00000354558	9606.ENSP00000344220	0	0	0	0	0.367	0.272	0	0.696	0.848
MTOR	TRIB3	9606.ENSP00000354558	9606.ENSP00000415416	0	0	0	0	0	0.106	0	0.414	0.453
NOS3	PDPK1	9606.ENSP00000297494	9606.ENSP00000344220	0	0	0	0	0	0	0.500	0.156	0.559
PDPK1	PHLPP1	9606.ENSP00000344220	9606.ENSP00000262719	0	0	0	0	0.083	0	0	0.446	0.471
PDPK1	PIK3CA	9606.ENSP00000344220	9606.ENSP00000263967	0	0	0	0	0.126	0.073	0.900	0.744	0.976
PDPK1	RPTOR	9606.ENSP00000344220	9606.ENSP00000307272	0	0	0	0	0.140	0	0	0.529	0.578
PDPK1	TRIB3	9606.ENSP00000344220	9606.ENSP00000415416	0	0	0	0.577	0	0.071	0.500	0.093	0.542
PHLPP1	RPTOR	9606.ENSP00000262719	9606.ENSP00000307272	0	0	0	0	0.049	0	0	0.399	0.404
PHLPP1	PIK3CA	9606.ENSP00000262719	9606.ENSP00000263967	0	0	0	0	0.044	0	0	0.407	0.409
PIK3CA	SMAD3	9606.ENSP00000263967	9606.ENSP00000332973	0	0	0	0	0.074	0.292	0	0.342	0.531
PIK3CA	RPTOR	9606.ENSP00000263967	9606.ENSP00000307272	0	0	0	0	0.049	0	0	0.537	0.541
SMAD3	TRIB3	9606.ENSP00000332973	9606.ENSP00000415416	0	0	0	0	0.062	0.292	0	0.688	0.775
